step,score
797,-184.0
798,-169.0
799,-114.0
800,-147.0
801,-137.0
802,-238.0
803,-94.0
804,-154.0
805,-141.0
806,-224.0
807,-155.0
808,-162.0
809,-169.0
810,-143.0
811,-159.0
812,-371.0
813,-143.0
814,-147.0
815,-237.0
816,-109.0
817,-177.0
818,-88.0
819,-97.0
820,-126.0
821,-163.0
822,-204.0
823,-183.0
824,-89.0
825,-134.0
826,-88.0
827,-189.0
828,-130.0
829,-161.0
830,-89.0
831,-139.0
832,-194.0
833,-145.0
834,-317.0
835,-128.0
836,-94.0
837,-161.0
838,-87.0
839,-200.0
840,-266.0
841,-170.0
842,-231.0
843,-323.0
844,-229.0
845,-109.0
846,-100.0
847,-123.0
848,-168.0
849,-132.0
850,-194.0
851,-321.0
852,-206.0
853,-251.0
854,-162.0
855,-180.0
856,-148.0
857,-103.0
858,-165.0
859,-139.0
860,-152.0
861,-192.0
862,-100.0
863,-123.0
864,-157.0
865,-159.0
866,-115.0
867,-116.0
868,-297.0
869,-218.0
870,-127.0
871,-119.0
872,-206.0
873,-115.0
874,-112.0
875,-146.0
876,-394.0
877,-170.0
878,-198.0
879,-168.0
880,-146.0
881,-141.0
882,-91.0
883,-183.0
884,-227.0
885,-233.0
886,-168.0
887,-161.0
888,-138.0
889,-213.0
890,-317.0
891,-131.0
892,-113.0
893,-101.0
894,-125.0
895,-207.0
896,-194.0
897,-115.0
898,-102.0
899,-138.0
900,-251.0
901,-133.0
902,-173.0
903,-330.0
904,-165.0
905,-104.0
906,-142.0
907,-149.0
908,-224.0
909,-155.0
910,-313.0
911,-110.0
912,-238.0
913,-157.0
914,-320.0
915,-263.0
916,-178.0
917,-129.0
918,-331.0
919,-288.0
920,-104.0
921,-103.0
922,-122.0
923,-356.0
924,-144.0
925,-149.0
926,-137.0
927,-140.0
928,-171.0
929,-189.0
930,-194.0
931,-169.0
932,-108.0
933,-157.0
934,-124.0
935,-121.0
936,-111.0
937,-164.0
938,-147.0
939,-127.0
940,-107.0
941,-195.0
942,-103.0
943,-111.0
944,-140.0
945,-187.0
946,-92.0
947,-226.0
948,-197.0
949,-96.0
950,-73.0
951,-160.0
952,-158.0
953,-165.0
954,-128.0
955,-381.0
956,-104.0
957,-100.0
958,-102.0
959,-124.0
960,-79.0
961,-179.0
962,-126.0
963,-93.0
964,-173.0
965,-187.0
966,-239.0
967,-103.0
968,-136.0
969,-148.0
970,-121.0
971,-153.0
972,-99.0
973,-113.0
974,-130.0
975,-119.0
976,-100.0
977,-90.0
978,-111.0
979,-199.0
980,-100.0
981,-138.0
982,-83.0
983,-268.0
984,-290.0
985,-140.0
986,-242.0
987,-247.0
988,-108.0
989,-115.0
990,-171.0
991,-190.0
992,-158.0
993,-146.0
994,-166.0
995,-167.0
996,-345.0
997,-235.0
998,-179.0
999,-114.0
