step,score
737,-159.0
738,-99.0
739,-167.0
740,-199.0
741,-229.0
742,-217.0
743,-200.0
744,-128.0
745,-101.0
746,-167.0
747,-155.0
748,-114.0
749,-119.0
750,-110.0
751,-118.0
752,-130.0
753,-152.0
754,-271.0
755,-308.0
756,-168.0
757,-138.0
758,-150.0
759,-163.0
760,-166.0
761,-180.0
762,-175.0
763,-389.0
764,-185.0
765,-252.0
766,-113.0
767,-194.0
768,-154.0
769,-99.0
770,-90.0
771,-125.0
772,-88.0
773,-81.0
774,-215.0
775,-203.0
776,-150.0
777,-189.0
778,-105.0
779,-140.0
780,-165.0
781,-137.0
782,-144.0
783,-129.0
784,-245.0
785,-139.0
786,-126.0
787,-134.0
788,-173.0
789,-125.0
790,-142.0
791,-167.0
792,-104.0
793,-155.0
794,-134.0
795,-119.0
796,-115.0
797,-139.0
798,-132.0
799,-126.0
800,-102.0
801,-93.0
802,-127.0
803,-121.0
804,-109.0
805,-180.0
806,-104.0
807,-120.0
808,-149.0
809,-168.0
810,-91.0
811,-126.0
812,-108.0
813,-97.0
814,-116.0
815,-120.0
816,-126.0
817,-138.0
818,-104.0
819,-136.0
820,-133.0
821,-110.0
822,-75.0
823,-109.0
824,-87.0
825,-89.0
826,-100.0
827,-132.0
828,-157.0
829,-146.0
830,-146.0
831,-110.0
832,-113.0
833,-98.0
834,-100.0
835,-112.0
836,-97.0
837,-82.0
838,-90.0
839,-95.0
840,-141.0
841,-178.0
842,-147.0
843,-127.0
844,-140.0
845,-176.0
846,-204.0
847,-158.0
848,-145.0
849,-110.0
850,-98.0
851,-185.0
852,-116.0
853,-105.0
854,-103.0
855,-91.0
856,-128.0
857,-96.0
858,-139.0
859,-138.0
860,-99.0
861,-147.0
862,-120.0
863,-203.0
864,-105.0
865,-106.0
866,-87.0
867,-161.0
868,-138.0
869,-89.0
870,-88.0
871,-98.0
872,-223.0
873,-181.0
874,-117.0
875,-122.0
876,-101.0
877,-145.0
878,-81.0
879,-131.0
880,-114.0
881,-95.0
882,-94.0
883,-201.0
884,-111.0
885,-84.0
886,-100.0
887,-121.0
888,-130.0
889,-142.0
890,-138.0
891,-115.0
892,-95.0
893,-80.0
894,-155.0
895,-155.0
896,-123.0
897,-95.0
898,-103.0
899,-165.0
900,-139.0
901,-127.0
902,-106.0
